Movie,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
Karthik Calling Karthik,tt1373156,135.0,Feb,7.1,14429.0
Raabta,tt5542802,147.0,Jun,4.8,8759.0
Dhobi Ghat,tt8843396,,Mar,,
Biwi No.1,tt0207341,159.0,May,5.7,6658.0
Maine Pyaar Kyun Kiya?,tt0451803,145.0,Jul,5.6,5952.0
Ek Thi Daayan,tt2406676,135.0,Apr,5.7,4659.0
Teri Meri Kahaani,tt2354407,117.0,Jun,4.9,4357.0
F.A.L.T.U,tt1667076,120.0,Apr,4.8,3277.0
Daawat-E-Ishq,tt3398052,118.0,Sep,6.1,6218.0
Jazbaa,tt4323504,119.0,Oct,5.7,3712.0
Rock On!!,tt1230165,145.0,Aug,7.7,23015.0
Commando 2,tt5954088,144.0,Mar,5.4,4025.0
Rocky Handsome,tt3410408,119.0,Mar,6.8,9254.0
Gangs of Wasseypur,tt1954470,321.0,Jun,8.2,106403.0
Go Goa Gone,tt2436516,111.0,May,6.7,15740.0
Jaan-E-Mann,tt0456481,165.0,Oct,6.1,9309.0
Ishq,tt0133024,161.0,Nov,6.8,12119.0
Junglee,tt7463730,115.0,Mar,5.5,2337.0
Sarkar,tt7715202,163.0,Nov,6.7,23180.0
Katti Batti,tt4467262,135.0,Sep,4.7,3301.0
Mr. X,tt3848938,133.0,Apr,3.7,2405.0
Khoobsurat,tt3554418,130.0,Sep,6.4,9288.0
Indian,tt0116630,185.0,May,8.1,15423.0
Enthiran,tt1305797,174.0,Oct,7.1,31156.0
D Day,tt2385104,153.0,Jul,7.2,10371.0
Bombay Velvet,tt2979920,149.0,May,5.5,6527.0
Saand Ki Aankh,tt8108206,146.0,Oct,7.5,6101.0
Bhoothnath,tt0991346,150.0,May,6.4,11813.0
OK Jaanu,tt5764024,135.0,Jan,5.3,5104.0
Lakshya,tt0323013,186.0,Jun,7.8,26869.0
Dil Bole Hadippa!,tt1202540,148.0,Sep,4.7,4805.0
Thackeray,tt7777196,120.0,Jan,5.4,3808.0
Dus,tt13782010,,,,162.0
Omkara,tt0488414,155.0,Jul,8.0,22379.0
Black,tt0375611,122.0,Feb,8.1,36621.0
Munna Bhai M.B.B.S.,tt0374887,156.0,Dec,8.1,91098.0
36 China Town,tt0477252,140.0,May,5.8,5491.0
Mission Kashmir,tt0248185,154.0,Oct,6.6,7748.0
Pardes,tt0119861,191.0,Dec,6.9,16392.0
Billu,tt1230448,137.0,Feb,6.4,13974.0
